abagen-genepc1,aghourian2017-feobv,alarkurtti2015-raclopride,bedard2019-feobv,beliveau2017-az10419369,beliveau2017-cimbi36,beliveau2017-cumi101,beliveau2017-dasb,beliveau2017-sb207145,ding2010-mrb,dubois2015-abp688,dukart2018-flumazenil,dukart2018-fpcit,fazio2016-madam,finnema2016-ucbj,gallezot2010-p943,gallezot2017-gsk189254,hcps1200-megalpha,hcps1200-megbeta,hcps1200-megdelta,hcps1200-meggamma1,hcps1200-meggamma2,hcps1200-megtheta,hcps1200-megtimescale,hcps1200-myelinmap,hcps1200-thickness,hesse2017-methylreboxetine,hillmer2016-flubatine,jaworska2020-fallypride,kaller2017-sch23390,kantonen2020-carfentanil,laurikainen2018-fmpepd2,margulies2016-fcgradient01,margulies2016-fcgradient02,margulies2016-fcgradient03,margulies2016-fcgradient04,margulies2016-fcgradient05,margulies2016-fcgradient06,margulies2016-fcgradient07,margulies2016-fcgradient08,margulies2016-fcgradient09,margulies2016-fcgradient10,mueller2013-intersubjvar,naganawa2020-lsn3172176,neurosynth-cogpc1,norgaard2021-flumazenil,normandin2015-omar,radnakrishnan2018-gsk215083,raichle-cbf,raichle-cbv,raichle-cmr02,raichle-cmruglu,reardon2018-scalinghcp,reardon2018-scalingnih,reardon2018-scalingpnc,rosaneto-abp688,sandiego2015-flb457,sasaki2012-fepe2i,satterthwaite2014-meancbf,savli2012-altanserin,savli2012-dasb,savli2012-p943,savli2012-way100635,smart2019-abp688,smith2017-flb457,sydnor2021-SAaxis,tuominen-feobv,turtonen2020-carfentanil,xu2020-FChomology,xu2020-evoexp
1.9976611,21.832129,19.80911,6.19294,22.616938,51.894794,20.661003,4.028904,1.7473702,0.07056851,2.3163865,71.63418,26.585268,9.553855,3.8866968,1.1634529,14.168982,0.38439295,0.08542158,0.28861335,0.018176327,0.010492618,0.21290317,13.907556,1.4970697,2.186651,11.700935,10.38629,0.70690423,9.5690975,2.6087856,8.320067,-0.9116449,1.8781722,0.3955787,0.7643136,-0.43052715,0.024226844,-0.21824904,0.1875313,-0.4156235,-0.06260587,0.5974819,4.2929554,0.00048657437,917.18896,1.1973234,0.5319794,5487.462,3975.0515,5066.074,6506.3228,0.9887652,0.89358664,1.0028857,3.5141447,0.8641083,0.16881166,64.48126,66.49532,2.1188755,30.451822,21.495321,0.68426216,0.7757444,-1.085056,1.2755328,0.3346544,3.2160642,6.973956
1.7715205,22.697828,19.206188,6.0094023,25.816668,54.200546,18.980013,6.507606,1.6877922,0.004231997,2.3593426,79.691345,29.47926,11.008978,3.65833,1.088058,15.380461,0.3751481,0.083953656,0.29336336,0.016890401,0.009235792,0.22140871,15.600042,1.5472584,2.0977058,11.7644,9.192861,0.62193406,17.054121,3.3240776,7.2184067,-4.214526,3.9329238,-1.0931089,0.9339006,-0.62381166,0.008323857,0.16868336,-0.21306448,0.31448263,0.14661448,0.5595814,3.8518388,-0.000332169,1033.1423,1.1049,0.42417863,6414.7827,5150.9995,5974.411,6818.76,0.9670018,0.8260485,0.8410834,3.3715906,0.6299582,0.049289778,58.866287,63.348663,11.022372,44.576687,20.686605,0.8044772,0.38354236,-1.4873865,1.3931007,0.37209013,3.972996,14.250156
1.3569862,23.600096,21.803297,6.205362,22.387648,55.610287,25.363401,4.14671,2.1751654,0.08405447,2.3484542,73.673325,27.157652,8.314861,3.897908,1.0431968,14.489194,0.3961854,0.08678512,0.27662352,0.017353142,0.009398471,0.21365432,13.217197,1.4401765,2.3297303,10.910213,10.593652,0.7592726,11.492702,7.853307,9.150794,-4.0592346,5.148984,-0.91988695,-0.06664267,-0.43393287,0.12057104,-0.39249113,-0.00022975785,-0.11185737,-0.07082907,0.5835024,4.1424727,0.000700332,921.34784,1.2441096,0.5391954,5577.88,3988.4556,5251.7505,6618.9688,1.0718255,0.9993749,1.1079738,3.5098372,0.894083,0.17530255,68.21482,72.193634,3.9923584,49.634464,29.742537,0.7400547,0.8589723,-0.80037326,1.3052615,0.546611,2.534679,10.20176
1.2920786,21.815004,21.14867,6.021731,20.89096,48.801975,21.122164,4.587263,2.0136995,0.09336312,2.1793554,65.768036,25.877172,5.5479364,3.9609423,1.0087179,14.85687,0.43233693,0.089881025,0.24882202,0.016818762,0.008554749,0.2035865,12.435597,1.5171214,2.2386866,10.34572,10.346223,0.706006,9.71438,6.2796454,8.908626,-4.4433026,4.9246516,-1.1123272,0.46906766,-0.61026937,0.13563637,-0.17041883,-0.17062737,0.17429122,0.07435783,0.58202356,4.2099547,0.001489795,863.9514,1.2124608,0.4647179,5882.1157,5258.733,5426.6387,6763.7524,0.97052675,0.90580076,0.978186,3.3482552,0.7753064,0.1439996,61.69868,60.087914,4.751814,46.90876,25.16871,0.750065,0.7690199,-1.1829567,1.2967843,0.5419547,2.9330478,6.6313877
2.0810366,20.933662,20.399752,6.207909,21.624157,52.812386,20.255556,4.082632,1.7179848,0.09784231,2.254564,73.19374,25.814745,10.010003,3.6516924,1.2655501,13.807145,0.37902978,0.08468971,0.2904206,0.020108057,0.012171153,0.21358073,13.945959,1.4980237,2.2061276,11.2548275,10.609886,0.7004633,9.444613,2.7743094,8.236705,-0.9409146,1.9803165,0.39236477,0.6693595,-0.4353636,-0.018801315,-0.17973483,0.18736108,-0.39452028,-0.05215018,0.5956161,4.211122,0.00021482742,936.51044,1.2353232,0.5185677,5460.775,4049.708,5141.1265,6362.7964,0.96732026,0.9893554,1.0645999,3.4819615,0.7937379,0.16913845,64.97885,60.586735,1.9308871,38.5715,20.837347,0.64820445,0.63661945,-0.99971396,1.2725126,0.32014024,3.1985734,3.7252462
-0.007626081,24.683743,21.84567,6.2260833,21.05495,56.660404,31.62055,3.4438865,2.5050623,0.070438705,2.582145,74.20465,25.231033,7.655188,3.9771273,0.9663806,17.40141,0.33048594,0.10149509,0.29055727,0.018841522,0.010116282,0.24850386,15.346061,1.2581812,2.669624,13.621611,10.962252,1.1405202,14.47132,26.951302,11.217584,6.624816,-0.17110005,-1.9033145,-0.08256882,0.1670288,0.48542118,-0.07386908,-0.18362549,0.230515,-0.09523247,0.64504373,4.234797,-0.0027572177,914.99084,1.3888485,0.6122842,5865.889,4299.1807,5131.669,6641.484,0.9490482,1.0167941,1.1773604,3.7426047,1.2370541,0.13418192,65.95784,79.07842,4.309641,50.79987,36.898514,0.97608465,1.0217803,1.0360804,1.3102409,1.3257389,0.60199547,65.54655
2.376502,22.356066,18.89252,5.9930224,24.237911,49.41858,12.541756,4.3679376,1.2295549,0.08288136,2.2667289,72.87106,25.455261,11.423741,3.8575008,1.3225707,16.207026,0.37609515,0.08310061,0.29444507,0.019413745,0.011953297,0.2149921,14.441776,1.5214273,2.0805953,11.750433,10.184082,0.5961274,9.202698,0.011496486,7.286276,2.3502831,0.43311498,1.1998897,0.9829403,-1.027989,0.020603886,-0.29155713,0.1817287,-0.47152326,-0.107163854,0.5803708,4.4603324,0.00032097462,971.209,1.201667,0.49495614,5699.518,6179.6523,5254.725,6323.6226,0.87720686,0.8875207,0.847896,3.6102066,0.6408092,0.117383786,64.00527,54.382576,2.8385324,28.252836,13.970053,0.6051556,0.5173624,-1.2209036,1.259932,0.22106154,3.2891417,3.3765926
0.53978866,32.153385,21.069614,7.0881443,20.668854,44.20656,28.260416,4.960494,1.7039663,0.16662064,2.4297845,60.63295,28.777796,8.075854,3.089988,0.97761256,16.957071,0.28002965,0.11060068,0.31371802,0.022476286,0.011481509,0.2616939,16.013754,1.4836001,2.3249795,14.159916,10.78749,0.9434057,10.880916,16.138899,9.019731,-4.7788777,-2.5147507,-1.5083051,-0.06985129,-0.5682796,-0.5165481,0.116033815,-0.015971972,0.081694655,-0.22673312,0.5669197,3.424471,0.0021181083,855.39484,1.2700907,0.40732893,6122.855,4355.894,5415.692,6537.753,0.9682079,1.0801076,1.0709624,3.6461396,0.8899163,0.19122843,62.217697,51.556206,5.6871576,42.77692,24.789644,0.8247162,0.7377112,-1.1623642,1.6043503,0.9595198,1.6872175,12.471072
0.54275745,27.392252,19.948845,6.139276,18.366533,49.408974,20.070675,4.5623713,1.9631467,-0.0066011352,2.332403,59.771942,28.152195,7.575218,2.9295368,0.72482497,14.949558,0.35389495,0.102880605,0.27598542,0.021657415,0.011003069,0.23457858,14.6094475,1.550926,2.2319734,9.059355,9.594881,0.66028166,13.974848,13.146168,8.339275,1.6700269,0.0857707,1.7784333,0.19224276,-0.11720429,-0.096159354,0.36683807,-0.0066132545,0.026110267,0.41512987,0.6124165,3.1741455,-0.0012640521,839.64886,1.1305404,0.36470574,6581.012,5880.4316,5567.8677,7444.483,0.85721564,0.8251182,0.88531864,3.363841,0.5815452,0.11353242,67.13795,50.955357,6.456955,34.355408,23.1467,0.78309405,0.43594426,-0.5372362,1.2748175,0.732354,0.41000572,22.745718
0.1926446,24.866245,21.046469,6.4334884,21.535452,58.320034,30.303364,3.597075,2.5558803,0.10872594,2.5836444,72.90538,25.041328,9.517501,4.581206,1.0830163,18.843359,0.35843557,0.10400231,0.27461854,0.01891333,0.009392394,0.23463783,13.232985,1.2741716,2.6362975,16.2453,11.7391615,1.061701,14.719028,26.377476,11.378753,5.958395,-0.004794607,-1.1514019,-0.17628834,-0.30247468,0.49485675,0.68687135,0.03984699,0.076214984,-0.18887731,0.6451595,4.712787,-0.0023222195,917.05963,1.4330103,0.58635056,5807.919,3979.9258,5099.361,6673.3325,1.0313398,1.0307647,1.0801973,3.882382,1.1727475,0.09993051,67.11856,73.58975,3.3907614,46.27258,31.425383,0.99708277,1.0800201,0.7999169,1.3395824,1.2124933,0.30610698,61.47714
